Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
0,450,450,0,0,180,304.8,1828.8,22.1484375,22.32421875
1,600,450,0,0,180,304.8,1828.8,23.203125,23.37890625
2,750,450,0,0,180,304.8,1828.8,21.796875,21.97265625
3,450,600,0,0,180,304.8,1828.8,25.3125,25.48828125
4,600,600,0,0,180,304.8,1828.8,26.71875,26.89453125
5,750,600,0,0,180,304.8,1828.8,21.62109375,21.796875
6,450,750,0,0,180,304.8,1828.8,28.4765625,28.65234375
7,600,750,0,0,180,304.8,1828.8,29.1796875,29.35546875
8,750,750,0,0,180,304.8,1828.8,21.62109375,21.796875
9,450,450,-30,0,150,304.8,1828.8,21.09375,21.26953125
10,600,450,-30,0,150,304.8,1828.8,22.1484375,22.32421875
11,750,450,-30,0,150,304.8,1828.8,23.203125,23.37890625
12,450,600,-30,0,150,304.8,1828.8,24.2578125,24.43359375
13,600,600,-30,0,150,304.8,1828.8,25.3125,25.48828125
14,750,600,-30,0,150,304.8,1828.8,26.3671875,26.54296875
15,450,750,-30,0,150,304.8,1828.8,27.24609375,27.421875
16,600,750,-30,0,150,304.8,1828.8,28.4765625,28.65234375
17,750,750,-30,0,150,304.8,1828.8,29.53125,29.70703125
18,450,450,-60,0,120,304.8,1828.8,18.28125,18.45703125
19,600,450,-60,0,120,304.8,1828.8,19.16015625,19.3359375
20,750,450,-60,0,120,304.8,1828.8,20.0390625,20.21484375
21,450,600,-60,0,120,304.8,1828.8,21.09375,21.26953125
22,600,600,-60,0,120,304.8,1828.8,21.97265625,22.1484375
23,750,600,-60,0,120,304.8,1828.8,22.8515625,23.02734375
24,450,750,-60,0,120,304.8,1828.8,24.08203125,24.2578125
25,600,750,-60,0,120,304.8,1828.8,24.78515625,24.9609375
26,750,750,-60,0,120,304.8,1828.8,26.71875,26.89453125
27,450,450,0,0,180,7620.0,9144.0,27.0703125,27.24609375
28,600,450,0,0,180,7620.0,9144.0,29.35546875,29.53125
29,750,450,0,0,180,7620.0,9144.0,31.46484375,31.640625
30,450,600,0,0,180,7620.0,9144.0,30.234375,30.41015625
31,600,600,0,0,180,7620.0,9144.0,32.51953125,32.6953125
32,750,600,0,0,180,7620.0,9144.0,34.62890625,34.8046875
33,450,750,0,0,180,7620.0,9144.0,33.3984375,33.57421875
34,600,750,0,0,180,7620.0,9144.0,35.68359375,35.859375
35,750,750,0,0,180,7620.0,9144.0,37.79296875,37.96875
36,450,450,-30,0,150,7620.0,9144.0,25.6640625,25.83984375
37,600,450,-30,0,150,7620.0,9144.0,27.59765625,27.7734375
38,750,450,-30,0,150,7620.0,9144.0,29.53125,29.70703125
39,450,600,-30,0,150,7620.0,9144.0,28.65234375,28.828125
40,600,600,-30,0,150,7620.0,9144.0,30.76171875,30.9375
41,750,600,-30,0,150,7620.0,9144.0,32.6953125,32.87109375
42,450,750,-30,0,150,7620.0,9144.0,31.81640625,31.9921875
43,600,750,-30,0,150,7620.0,9144.0,33.75,33.92578125
44,750,750,-30,0,150,7620.0,9144.0,35.859375,36.03515625
45,450,450,-60,0,120,7620.0,9144.0,21.62109375,21.796875
46,600,450,-60,0,120,7620.0,9144.0,23.203125,23.37890625
47,750,450,-60,0,120,7620.0,9144.0,24.78515625,24.9609375
48,450,600,-60,0,120,7620.0,9144.0,24.43359375,24.609375
49,600,600,-60,0,120,7620.0,9144.0,25.83984375,26.015625
50,750,600,-60,0,120,7620.0,9144.0,27.421875,27.59765625
51,450,750,-60,0,120,7620.0,9144.0,27.0703125,27.24609375
52,600,750,-60,0,120,7620.0,9144.0,28.4765625,28.65234375
53,750,750,-60,0,120,7620.0,9144.0,30.05859375,30.234375
54,450,450,0,0,180,13716.0,15240.0,30.234375,30.41015625
55,600,450,0,0,180,13716.0,15240.0,33.22265625,33.3984375
56,750,450,0,0,180,13716.0,15240.0,36.03515625,36.2109375
57,450,600,0,0,180,13716.0,15240.0,33.046875,33.22265625
