Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
0,742,466,27,0,67,9775,8311,14.94140625,15.1171875
1,555,686,52,0,71,4850,6002,-1.0,0.703125
2,532,467,33,0,70,5674,4461,8.0859375,8.26171875
3,577,634,2,0,35,2576,3522,3.69140625,3.8671875
4,631,645,26,0,-35,11362,10912,13.53515625,13.7109375
5,683,539,43,0,-25,11147,11108,14.23828125,14.4140625
6,518,683,49,0,-58,7507,8495,16.34765625,16.5234375
7,642,472,37,0,-178,4164,3188,23.5546875,23.73046875
8,549,605,34,0,7,12953,12412,9.66796875,9.84375
9,610,731,28,0,43,8004,6746,5.625,5.80078125
10,749,616,54,0,76,2866,2260,5.09765625,5.2734375
11,661,572,2,0,-164,8440,8149,33.3984375,33.57421875
12,486,723,59,0,-139,2756,2806,24.609375,24.78515625
13,740,641,58,0,127,2756,1694,8.0859375,8.26171875
14,499,676,10,0,-83,6016,6266,16.5234375,16.69921875
15,662,678,15,0,168,4804,3867,30.5859375,30.76171875
16,717,541,55,0,-119,4678,5020,24.9609375,25.13671875
17,604,534,42,0,152,3159,2356,17.2265625,17.40234375
18,695,627,20,0,42,3968,2464,-1.0,0.703125
19,728,472,21,0,-17,4279,3082,7.3828125,7.55859375
20,584,679,25,0,118,2896,2971,12.3046875,12.48046875
21,703,573,47,0,88,4755,5361,8.26171875,8.4375
22,697,705,4,0,-95,8322,9559,24.2578125,24.43359375
23,686,655,8,0,35,9172,10043,9.140625,9.31640625
24,628,725,24,0,70,11801,10956,14.4140625,14.58984375
25,674,724,4,0,-155,6032,4887,33.75,33.92578125
26,527,505,38,0,52,13403,13865,13.359375,13.53515625
27,521,684,55,0,43,12995,13523,8.4375,8.61328125
28,678,625,46,0,-48,13226,14560,19.86328125,20.0390625
29,684,666,21,0,152,8818,9437,31.81640625,31.9921875
30,528,571,20,0,136,843,2133,16.69921875,16.875
31,550,744,53,0,141,8151,6729,16.875,17.05078125
32,509,601,27,0,-54,12071,11732,17.2265625,17.40234375
33,495,473,38,0,101,12867,11775,18.6328125,18.80859375
34,596,533,42,0,64,2618,2572,4.921875,5.09765625
35,655,548,22,0,-87,1610,2508,16.171875,16.34765625
36,549,668,13,0,-131,11516,11255,33.22265625,33.3984375
37,687,717,46,0,36,7637,8833,5.80078125,5.9765625
38,734,556,17,0,125,6273,5223,23.5546875,23.73046875
39,453,557,27,0,132,6996,7036,20.7421875,20.91796875
40,552,485,49,0,36,13364,12204,11.77734375,11.953125
41,478,628,16,0,4,7789,8002,4.04296875,4.21875
42,549,594,29,0,175,5120,5670,26.54296875,26.71875
43,705,709,58,0,-46,6932,7216,15.29296875,15.46875
44,624,628,46,0,-39,8210,8515,13.18359375,13.359375
45,694,695,5,0,173,9148,10572,36.9140625,37.08984375
46,637,657,58,0,-94,10182,10360,26.89453125,27.0703125
47,738,483,38,0,-24,571,1470,6.85546875,7.03125
48,617,614,4,0,23,10303,10310,8.96484375,9.140625
49,594,545,15,0,-94,5345,4211,19.6875,19.86328125
50,734,477,14,0,111,12508,11286,28.30078125,28.4765625
51,665,548,36,0,112,7501,8407,16.875,17.05078125
52,458,650,12,0,-7,9712,8969,4.921875,5.09765625
53,717,738,48,0,-13,1084,2253,-1.0,0.703125
54,746,475,2,0,109,6299,6401,23.02734375,23.203125
55,616,537,49,0,-100,2227,3185,21.4453125,21.62109375
56,626,534,1,0,94,8678,8584,21.796875,21.97265625
57,495,653,28,0,115,6000,4720,13.88671875,14.0625
58,524,677,45,0,61,10295,10620,8.7890625,8.96484375
59,676,539,22,0,36,5929,6693,7.03125,7.20703125
60,712,684,24,0,-81,1893,2142,15.99609375,16.171875
61,528,471,59,0,-85,10790,11862,21.796875,21.97265625
62,547,741,27,0,4,9464,9480,4.04296875,4.21875
