Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
0,742,466,-6,0,67,9775,8311,18.984375,19.16015625
1,555,686,44,0,71,4850,6002,5.44921875,5.625
2,532,467,6,0,70,5674,4461,10.8984375,11.07421875
3,577,634,-55,0,35,2576,3522,8.4375,8.61328125
4,631,645,-7,0,-35,11362,10912,10.8984375,11.07421875
5,683,539,27,0,-25,11147,11108,13.88671875,14.0625
6,518,683,38,0,-58,7507,8495,15.29296875,15.46875
7,642,472,14,0,-178,4164,3188,26.71875,26.89453125
8,549,605,8,0,7,12953,12412,9.84375,10.01953125
9,610,731,-3,0,43,8004,6746,7.3828125,7.55859375
10,749,616,48,0,76,2866,2260,5.44921875,5.625
11,661,572,-56,0,-164,8440,8149,22.5,22.67578125
12,486,723,58,0,-139,2756,2806,24.78515625,24.9609375
13,740,641,56,0,127,2756,1694,8.26171875,8.4375
14,499,676,-39,0,-83,6016,6266,7.20703125,7.3828125
15,662,678,-29,0,168,4804,3867,30.5859375,30.76171875
16,717,541,50,0,-119,4678,5020,25.48828125,25.6640625
17,604,534,24,0,152,3159,2356,21.4453125,21.62109375
18,695,627,-19,0,42,3968,2464,6.85546875,7.03125
19,728,472,-18,0,-17,4279,3082,6.328125,6.50390625
20,584,679,-9,0,118,2896,2971,22.67578125,22.8515625
21,703,573,34,0,88,4755,5361,9.66796875,9.84375
22,697,705,-52,0,-95,8322,9559,11.953125,12.12890625
23,686,655,-43,0,35,9172,10043,13.359375,13.53515625
24,628,725,-11,0,70,11801,10956,20.0390625,20.21484375
25,674,724,-52,0,-155,6032,4887,18.80859375,18.984375
26,527,505,17,0,52,13403,13865,15.46875,15.64453125
27,521,684,50,0,43,12995,13523,8.7890625,8.96484375
28,678,625,32,0,-48,13226,14560,19.51171875,19.6875
29,684,666,-18,0,152,8818,9437,35.33203125,35.5078125
30,528,571,-19,0,136,843,2133,23.73046875,23.90625
31,550,744,46,0,141,8151,6729,19.16015625,19.3359375
32,509,601,-5,0,-54,12071,11732,14.0625,14.23828125
33,495,473,16,0,101,12867,11775,22.32421875,22.5
34,596,533,25,0,64,2618,2572,5.80078125,5.9765625
35,655,548,-16,0,-87,1610,2508,8.4375,8.61328125
36,549,668,-34,0,-131,11516,11255,24.78515625,24.9609375
37,687,717,32,0,36,7637,8833,5.9765625,6.15234375
38,734,556,-26,0,125,6273,5223,29.00390625,29.1796875
39,453,557,-6,0,132,6996,7036,25.83984375,26.015625
40,552,485,38,0,36,13364,12204,12.65625,12.83203125
41,478,628,-28,0,4,7789,8002,4.39453125,4.5703125
42,549,594,-1,0,175,5120,5670,29.53125,29.70703125
43,705,709,56,0,-46,6932,7216,15.1171875,15.29296875
44,624,628,32,0,-39,8210,8515,11.953125,12.12890625
45,694,695,-50,0,173,9148,10572,30.234375,30.41015625
46,637,657,56,0,-94,10182,10360,27.0703125,27.24609375
47,738,483,16,0,-24,571,1470,5.2734375,5.44921875
48,617,614,-51,0,23,10303,10310,11.77734375,11.953125
49,594,545,-30,0,-94,5345,4211,10.1953125,10.37109375
50,734,477,-32,0,111,12508,11286,31.46484375,31.640625
51,665,548,12,0,112,7501,8407,23.203125,23.37890625
52,458,650,-35,0,-7,9712,8969,4.74609375,4.921875
53,717,738,37,0,-13,1084,2253,-1.0,0.703125
54,746,475,-56,0,109,6299,6401,24.43359375,24.609375
55,616,537,38,0,-100,2227,3185,20.91796875,21.09375
56,626,534,-57,0,94,8678,8584,24.2578125,24.43359375
57,495,653,-4,0,115,6000,4720,23.02734375,23.203125
58,524,677,30,0,61,10295,10620,10.01953125,10.1953125
59,676,539,-15,0,36,5929,6693,9.140625,9.31640625
60,712,684,-11,0,-81,1893,2142,7.734375,7.91015625
61,528,471,59,0,-85,10790,11862,21.796875,21.97265625
62,547,741,-6,0,4,9464,9480,4.04296875,4.21875
63,475,476,-39,0,-21,3962,2640,-1.0,0.703125
64,746,540,-48,0,145,9553,9505,30.5859375,30.76171875
65,545,604,48,0,-159,6788,7713,26.89453125,27.0703125
66,669,489,-16,0,-81,8359,7501,15.8203125,15.99609375
67,536,657,43,0,59,13039,12859,11.25,11.42578125
68,469,538,46,0,-90,9829,11197,22.67578125,22.8515625
69,665,528,5,0,148,11721,11802,33.57421875,33.75
70,498,653,44,0,-120,4155,3068,26.54296875,26.71875
71,666,609,32,0,-32,9046,10182,12.12890625,12.3046875
72,500,626,46,0,87,10457,10879,12.12890625,12.3046875
73,575,722,-23,0,-174,11201,10324,35.5078125,35.68359375
74,647,567,-48,0,81,10740,11158,24.609375,24.78515625
75,501,745,55,0,24,9852,9220,4.5703125,4.74609375
76,597,631,-52,0,-84,10501,11263,12.12890625,12.3046875
77,721,463,-51,0,24,13595,12199,17.578125,17.75390625
78,458,670,-17,0,-89,12215,10885,18.10546875,18.28125
79,633,616,20,0,63,13202,12378,16.5234375,16.69921875
80,459,555,-44,0,-32,3606,3093,3.33984375,3.515625
81,576,647,18,0,99,9881,10796,19.6875,19.86328125
82,513,464,47,0,-152,11538,10742,27.59765625,27.7734375
83,513,647,-52,0,-173,11151,11404,26.19140625,26.3671875
84,543,665,55,0,-156,9342,8512,28.828125,29.00390625
85,477,642,14,0,55,7763,7614,7.55859375,7.734375
86,545,467,-9,0,141,7837,8315,27.59765625,27.7734375
87,636,486,-43,0,-45,4452,3649,5.9765625,6.15234375
88,496,685,-59,0,-102,4859,3656,5.44921875,5.625
89,718,607,-42,0,-127,9103,8072,20.21484375,20.390625
90,597,621,43,0,-179,9737,9276,29.70703125,29.8828125
91,714,668,52,0,80,2695,4091,5.44921875,5.625
92,480,478,17,0,-150,10893,10233,30.234375,30.41015625
93,724,457,-33,0,-105,5314,6621,14.4140625,14.58984375
94,664,527,49,0,-167,6433,7023,26.015625,26.19140625
95,509,694,-22,0,57,7901,7096,12.65625,12.83203125
96,522,464,-9,0,131,2827,3152,21.62109375,21.796875
97,541,623,4,0,162,7993,7102,31.81640625,31.9921875
98,472,700,15,0,19,3031,3430,1.93359375,2.109375
99,590,558,3,0,86,6094,7247,15.29296875,15.46875
100,738,734,-12,0,-104,10816,10588,27.0703125,27.24609375
101,612,516,-53,0,54,1177,2412,13.0078125,13.18359375
102,621,720,6,0,-156,6531,7505,33.57421875,33.75
103,672,563,24,0,64,9579,10766,13.53515625,13.7109375
104,496,502,-52,0,7,13547,13890,11.953125,12.12890625
105,669,609,-38,0,-116,12816,13873,23.90625,24.08203125
106,654,728,29,0,96,3458,4722,8.7890625,8.96484375
107,573,529,47,0,15,3878,4465,4.5703125,4.74609375
108,700,647,40,0,-83,1416,2084,18.6328125,18.80859375
109,529,725,-44,0,-144,11065,11163,24.609375,24.78515625
110,541,537,-14,0,16,10656,9983,9.84375,10.01953125
111,576,620,-22,0,121,4548,3658,25.83984375,26.015625
112,480,698,-7,0,2,5902,4398,-1.0,0.703125
113,616,600,4,0,177,9944,8616,35.15625,35.33203125
114,658,595,-2,0,-93,2196,2384,13.18359375,13.359375
115,669,497,-45,0,56,2951,1727,13.88671875,14.0625
116,643,722,-50,0,-177,8827,10270,28.65234375,28.828125
117,731,583,13,0,67,1696,1898,6.50390625,6.6796875
118,509,658,48,0,64,13660,13040,11.25,11.42578125
119,651,461,-4,0,54,10673,11476,17.05078125,17.2265625
120,702,664,-22,0,107,11066,10177,31.640625,31.81640625
121,680,535,-31,0,61,8488,9308,18.10546875,18.28125
122,689,656,-22,0,102,7646,8571,26.89453125,27.0703125
123,461,706,9,0,8,10640,12003,-1.0,0.703125
124,687,605,-37,0,-60,3958,3964,5.625,5.80078125
125,532,721,39,0,-167,9177,9966,31.81640625,31.9921875
126,466,479,-39,0,35,12782,12517,14.94140625,15.1171875
127,534,550,-57,0,-94,7954,7716,9.66796875,9.84375
128,632,582,-58,0,-101,4495,3142,6.6796875,6.85546875
129,522,572,-46,0,83,11995,12409,24.08203125,24.2578125
130,601,629,-20,0,102,7290,8624,24.9609375,25.13671875
131,618,600,-6,0,-152,2063,2514,24.78515625,24.9609375
132,634,698,32,0,43,8020,7958,6.328125,6.50390625
133,485,530,14,0,-83,9301,9094,20.0390625,20.21484375
134,597,551,-60,0,119,7343,8786,24.78515625,24.9609375
135,471,537,-40,0,67,6208,6296,16.171875,16.34765625
136,511,649,-29,0,-77,9716,8509,11.42578125,11.6015625
137,701,477,10,0,-49,8307,7122,14.0625,14.23828125
138,494,575,50,0,151,3162,2333,12.83203125,13.0078125
139,680,657,54,0,106,3429,4715,7.55859375,7.734375
140,666,567,-5,0,31,3417,2840,5.09765625,5.2734375
141,634,696,47,0,-114,12671,11959,32.51953125,32.6953125
142,742,476,33,0,170,8871,10220,29.35546875,29.53125
143,545,546,-50,0,21,10762,12037,11.6015625,11.77734375
144,726,451,17,0,77,4031,5335,11.25,11.42578125
145,740,617,-20,0,71,9845,10885,21.26953125,21.4453125
146,539,690,-29,0,12,6852,7225,4.21875,4.39453125
147,710,504,-7,0,128,8771,10225,29.70703125,29.8828125
148,497,576,-53,0,-125,12171,10914,18.45703125,18.6328125
149,588,576,-25,0,178,5885,5533,28.65234375,28.828125
150,723,638,44,0,-111,6049,6846,27.94921875,28.125
151,515,486,58,0,-173,12661,12981,24.43359375,24.609375
152,519,658,-30,0,63,7864,6611,15.64453125,15.8203125
153,537,490,-17,0,152,11061,10639,31.640625,31.81640625
154,529,479,-4,0,179,12365,12969,32.34375,32.51953125
155,471,477,-56,0,44,8994,9151,14.4140625,14.58984375
156,731,724,-21,0,128,9758,11024,35.33203125,35.5078125
157,634,599,15,0,-111,7913,9355,26.89453125,27.0703125
158,620,632,-52,0,-47,11858,11533,9.66796875,9.84375
159,628,736,-47,0,-51,10572,10590,8.26171875,8.4375
160,610,687,-6,0,27,3034,2634,3.33984375,3.515625
161,509,526,58,0,104,10420,9588,13.0078125,13.18359375
162,451,677,37,0,4,7351,6921,3.1640625,3.33984375
163,531,610,55,0,-84,11468,12562,23.90625,24.08203125
164,515,475,-54,0,119,3073,3866,21.4453125,21.62109375
165,724,731,-41,0,-150,9722,9407,28.65234375,28.828125
166,630,686,37,0,6,5347,4871,3.33984375,3.515625
167,486,551,23,0,1,1451,2576,-1.0,0.703125
168,486,738,-29,0,46,13125,13818,15.29296875,15.46875
169,571,743,19,0,-44,9392,10620,11.25,11.42578125
170,598,475,48,0,77,7353,8521,10.37109375,10.546875
171,623,689,16,0,176,1219,1226,27.59765625,27.7734375
172,621,694,2,0,-36,9096,9569,8.4375,8.61328125
173,450,641,-28,0,118,9837,10965,28.30078125,28.4765625
174,690,543,44,0,-63,6652,6915,17.9296875,18.10546875
175,614,590,-47,0,-6,2159,1007,-1.0,0.703125
176,504,581,-5,0,-60,3213,3923,6.15234375,6.328125
177,539,452,4,0,103,5011,6110,17.75390625,17.9296875
178,532,625,13,0,-82,10002,11429,21.26953125,21.4453125
179,512,535,-20,0,-176,5898,6319,27.0703125,27.24609375
180,546,679,-53,0,124,13039,13477,30.234375,30.41015625
181,740,518,-58,0,105,5132,5692,23.90625,24.08203125
182,541,716,15,0,-127,2771,3285,25.48828125,25.6640625
183,609,745,-22,0,-156,6702,5862,30.234375,30.41015625
184,671,658,17,0,111,10667,11759,26.015625,26.19140625
185,458,465,50,0,118,3002,4335,8.96484375,9.140625
186,591,657,-36,0,122,8674,9600,30.41015625,30.5859375
187,697,644,-30,0,-6,9153,8547,7.03125,7.20703125
188,634,744,48,0,118,896,1709,6.6796875,6.85546875
189,454,525,-59,0,-113,3654,3244,6.6796875,6.85546875
190,574,488,2,0,31,12269,10989,13.53515625,13.7109375
191,681,639,29,0,-179,10566,9915,34.8046875,34.98046875
192,540,743,44,0,-76,11633,11535,24.2578125,24.43359375
193,464,601,-41,0,85,13175,14127,24.08203125,24.2578125
194,700,646,-49,0,-116,8041,6834,14.4140625,14.58984375
195,604,543,3,0,63,5094,3794,8.96484375,9.140625
196,630,719,-6,0,-161,2126,3387,28.4765625,28.65234375
197,735,537,-44,0,-158,13320,12730,29.00390625,29.1796875
198,664,475,-51,0,-27,13287,11950,13.0078125,13.18359375
199,661,638,-18,0,83,10276,11248,24.2578125,24.43359375
200,601,647,-28,0,18,559,1313,-1.0,0.703125
201,727,450,-1,0,-64,9416,8178,17.2265625,17.40234375
202,642,726,29,0,1,4697,5915,-1.0,0.703125
203,729,468,-54,0,-13,9860,11050,11.42578125,11.6015625
204,688,609,-19,0,-93,2893,2780,9.66796875,9.84375
205,703,498,35,0,4,3933,3703,5.9765625,6.15234375
206,476,606,56,0,-177,8740,8382,24.609375,24.78515625
207,507,635,-54,0,-113,9706,8306,13.0078125,13.18359375
208,589,566,-15,0,94,603,1569,14.94140625,15.1171875
209,603,728,58,0,168,6517,7689,21.62109375,21.796875
210,728,650,19,0,49,5507,6944,7.03125,7.20703125
211,453,515,-23,0,-83,6068,5964,10.01953125,10.1953125
212,706,595,-7,0,176,1878,2199,28.4765625,28.65234375
213,523,565,-12,0,94,5711,6945,19.16015625,19.3359375
214,603,576,15,0,170,7464,6027,30.76171875,30.9375
215,483,567,-12,0,178,3748,2872,27.0703125,27.24609375
216,475,493,-14,0,10,2070,3298,-1.0,0.703125
217,570,484,11,0,163,7416,7925,28.30078125,28.4765625
218,583,507,-58,0,97,1975,1256,20.56640625,20.7421875
219,741,489,46,0,13,10890,10453,12.12890625,12.3046875
220,488,616,17,0,-122,5204,6604,24.78515625,24.9609375
221,569,573,-3,0,-115,8208,9386,24.78515625,24.9609375
222,615,600,-35,0,41,1189,1444,6.328125,6.50390625
223,514,672,-28,0,-108,12642,12611,21.796875,21.97265625
224,522,739,32,0,-34,11189,11997,11.42578125,11.6015625
225,711,733,-9,0,-76,8364,8493,14.765625,14.94140625
226,499,582,-54,0,-99,6750,7434,9.140625,9.31640625
227,500,523,6,0,-66,4791,4176,10.01953125,10.1953125
228,507,481,43,0,-151,11694,11888,28.125,28.30078125
229,654,706,29,0,-164,12853,14293,36.38671875,36.5625
230,666,610,-24,0,44,10374,11060,15.1171875,15.29296875
231,670,460,17,0,-69,2966,4170,12.83203125,13.0078125
232,556,486,-56,0,134,2669,3637,21.26953125,21.4453125
233,589,614,-28,0,88,10101,9988,24.78515625,24.9609375
234,475,729,-43,0,115,3710,3802,26.71875,26.89453125
235,578,698,-6,0,112,6757,7998,25.3125,25.48828125
236,675,633,-7,0,-15,9500,8904,7.55859375,7.734375
237,612,725,-10,0,-159,674,1996,26.015625,26.19140625
238,698,687,-39,0,-161,7654,7120,28.4765625,28.65234375
239,467,693,15,0,-93,1554,1015,14.23828125,14.4140625
240,503,727,34,0,151,12949,12076,29.00390625,29.1796875
241,725,559,17,0,10,10306,9440,10.1953125,10.37109375
242,474,714,-1,0,-57,2616,3991,-1.0,0.703125
243,688,486,38,0,151,4303,4808,20.56640625,20.7421875
244,501,479,-38,0,152,13012,14253,28.65234375,28.828125
245,537,518,18,0,-60,1572,1946,8.0859375,8.26171875
246,470,509,42,0,-132,1509,2851,22.1484375,22.32421875
247,481,501,1,0,45,1572,2484,4.74609375,4.921875
248,748,557,35,0,-126,3590,2520,27.0703125,27.24609375
249,745,640,-39,0,91,4807,4579,23.5546875,23.73046875
250,546,706,9,0,-74,7442,6738,14.58984375,14.765625
251,723,678,45,0,59,9850,10564,10.1953125,10.37109375
252,603,678,38,0,-180,5946,4433,28.4765625,28.65234375
253,583,719,-28,0,-127,10296,10441,25.6640625,25.83984375
254,660,604,-5,0,-141,5177,4314,27.24609375,27.421875
255,626,522,50,0,-123,1386,1401,23.02734375,23.203125
256,587,544,-30,0,-158,5918,5435,24.609375,24.78515625
257,671,653,6,0,-148,12217,13589,36.5625,36.73828125
258,584,625,45,0,23,4382,5512,-1.0,0.703125
259,454,599,50,0,-64,5273,4740,15.64453125,15.8203125
260,459,555,47,0,-91,3415,1926,20.21484375,20.390625
261,511,584,-27,0,60,2137,2050,8.96484375,9.140625
262,492,749,24,0,102,11864,11991,20.21484375,20.390625
263,615,503,-10,0,29,7259,7460,9.140625,9.31640625
264,474,632,-18,0,-179,8534,9471,31.11328125,31.2890625
265,503,672,9,0,114,8689,7368,23.5546875,23.73046875
266,673,511,3,0,112,2892,2952,18.45703125,18.6328125
267,489,584,-46,0,-109,11766,13183,17.578125,17.75390625
268,586,629,-22,0,129,9021,8492,31.46484375,31.640625
269,498,671,-6,0,-9,12664,12014,7.55859375,7.734375
270,644,484,18,0,41,2227,1196,5.09765625,5.2734375
271,687,699,-19,0,-9,13286,12347,10.01953125,10.1953125
272,743,470,-58,0,91,11618,12061,25.6640625,25.83984375
273,583,673,34,0,-47,2741,1759,7.20703125,7.3828125
274,650,602,40,0,-149,9668,9644,32.16796875,32.34375
275,743,685,9,0,11,8081,6619,5.625,5.80078125
276,740,601,-41,0,79,13453,14653,27.24609375,27.421875
277,586,539,17,0,-76,8597,9609,19.51171875,19.6875
278,517,487,-35,0,-133,7987,7809,19.51171875,19.6875
279,614,674,-17,0,-118,6302,7664,22.1484375,22.32421875
280,532,498,27,0,95,849,1467,7.20703125,7.3828125
281,738,583,-49,0,6,10181,11114,11.07421875,11.25
282,606,741,-14,0,-111,12955,13309,27.421875,27.59765625
283,493,601,32,0,-45,7852,8096,11.77734375,11.953125
284,483,496,5,0,3,8332,8616,7.03125,7.20703125
285,631,657,50,0,150,2869,2871,13.359375,13.53515625
286,567,472,44,0,-69,6540,5162,17.9296875,18.10546875
287,738,499,-54,0,-75,10008,9870,13.0078125,13.18359375
288,701,659,48,0,-174,7852,8053,29.53125,29.70703125
289,455,489,36,0,-37,6475,5064,10.01953125,10.1953125
290,566,669,-5,0,-85,8854,9740,17.40234375,17.578125
291,466,712,-36,0,-5,13635,13799,6.85546875,7.03125
292,654,727,0,0,-87,8796,7584,18.984375,19.16015625
293,495,504,-55,0,-66,12147,12993,11.6015625,11.77734375
294,450,478,37,0,30,5493,6306,5.2734375,5.44921875
295,590,684,57,0,134,11224,11802,20.0390625,20.21484375
296,620,743,39,0,-148,12660,13324,35.33203125,35.5078125
297,537,612,1,0,151,7683,8009,30.41015625,30.5859375
298,667,648,18,0,46,4152,4518,5.09765625,5.2734375
299,592,733,-41,0,-109,2486,1088,6.50390625,6.6796875
300,630,574,-55,0,-174,2796,3816,18.984375,19.16015625
301,496,654,-47,0,51,3123,4047,10.8984375,11.07421875
302,729,535,-29,0,164,6593,6441,30.41015625,30.5859375
303,488,729,-7,0,-119,3648,4950,20.21484375,20.390625
304,694,642,55,0,127,10173,10697,18.984375,19.16015625
305,632,687,50,0,83,7399,8295,8.7890625,8.96484375
306,621,703,48,0,139,5757,5619,15.64453125,15.8203125
307,731,629,59,0,99,10669,9413,13.7109375,13.88671875
308,561,521,45,0,-29,2479,1272,7.3828125,7.55859375
309,609,617,-51,0,43,2545,2879,10.1953125,10.37109375
310,644,709,6,0,106,1332,1511,13.53515625,13.7109375
311,700,570,36,0,-100,9222,7934,27.94921875,28.125
312,531,570,-7,0,165,11807,11921,33.92578125,34.1015625
313,652,579,-41,0,51,5335,5639,13.53515625,13.7109375
314,658,474,-10,0,162,1042,1069,24.9609375,25.13671875
315,485,494,-57,0,26,7381,8098,10.37109375,10.546875
316,492,544,-10,0,-170,11343,11387,31.9921875,32.16796875
317,713,535,40,0,45,2682,3996,-1.0,0.703125
318,613,675,16,0,-124,8215,6793,30.76171875,30.9375
319,654,638,0,0,89,7807,8148,18.984375,19.16015625
320,470,576,7,0,-134,7583,6629,27.24609375,27.421875
321,551,690,52,0,48,3229,2925,2.98828125,3.1640625
322,607,700,-26,0,140,8466,8208,33.75,33.92578125
323,534,588,-53,0,34,5575,4353,10.01953125,10.1953125
324,607,662,48,0,-124,7563,6491,29.70703125,29.8828125
325,573,626,-32,0,95,1401,2175,19.16015625,19.3359375
326,731,683,-47,0,168,5533,4815,28.828125,29.00390625
327,710,599,-44,0,107,13521,13143,31.640625,31.81640625
328,483,548,56,0,2,13192,12894,9.84375,10.01953125
329,716,663,-34,0,-28,1056,1271,2.8125,2.98828125
330,742,715,22,0,115,3651,3727,14.58984375,14.765625
331,459,455,-37,0,-12,4715,5264,5.2734375,5.44921875
332,468,497,5,0,-178,7003,7102,28.125,28.30078125
333,462,469,-53,0,-138,1938,1774,9.31640625,9.4921875
334,727,591,0,0,93,9632,10307,24.609375,24.78515625
335,484,587,-7,0,23,2325,3278,2.98828125,3.1640625
336,722,724,-38,0,-113,13360,14677,24.78515625,24.9609375
337,537,530,12,0,-113,10274,10347,27.0703125,27.24609375
338,505,702,50,0,-15,5354,4209,-1.0,0.703125
339,745,644,20,0,-62,6289,6084,14.58984375,14.765625
340,741,482,-29,0,-120,9666,10598,23.37890625,23.5546875
341,716,713,-14,0,78,11642,12127,24.9609375,25.13671875
342,456,705,29,0,-57,11278,12236,16.5234375,16.69921875
343,573,669,16,0,-2,4009,4055,2.63671875,2.8125
344,712,549,30,0,87,6608,6957,12.65625,12.83203125
345,480,727,0,0,108,10374,11675,25.48828125,25.6640625
346,687,748,24,0,-52,4692,3596,8.7890625,8.96484375
347,716,599,35,0,14,7329,7775,6.6796875,6.85546875
348,696,681,37,0,179,7302,5876,31.11328125,31.2890625
349,576,589,39,0,-92,11420,10888,26.71875,26.89453125
350,666,512,-8,0,125,8781,9832,28.828125,29.00390625
351,677,625,45,0,167,6143,6431,25.3125,25.48828125
352,477,608,-46,0,25,13652,12452,12.65625,12.83203125
353,599,569,1,0,-77,6060,5223,13.359375,13.53515625
354,682,613,54,0,-11,10848,10455,11.07421875,11.25
355,644,502,-59,0,-16,4776,5156,6.328125,6.50390625
356,633,687,-53,0,135,10443,11649,30.76171875,30.9375
357,532,608,-28,0,22,11010,9540,10.01953125,10.1953125
358,598,606,-57,0,175,9420,10331,26.015625,26.19140625
359,678,716,-49,0,12,5934,6847,5.625,5.80078125
360,681,725,3,0,-83,2934,2072,10.546875,10.72265625
361,527,691,-42,0,123,5662,5932,28.30078125,28.4765625
362,562,632,54,0,-123,1707,2467,24.2578125,24.43359375
363,467,677,-35,0,-43,10647,11472,7.3828125,7.55859375
364,656,691,-49,0,-88,10632,9801,12.65625,12.83203125
365,660,680,-27,0,-9,3312,4148,2.8125,2.98828125
366,637,604,51,0,-127,9736,8804,30.05859375,30.234375
367,733,668,55,0,-30,5353,6250,10.37109375,10.546875
368,490,632,22,0,-79,3130,3574,14.23828125,14.4140625
369,475,676,5,0,117,12287,10929,27.7734375,27.94921875
370,710,721,55,0,-101,13708,15116,30.5859375,30.76171875
371,633,600,40,0,-167,6740,7153,29.00390625,29.1796875
372,539,657,-25,0,6,2373,2053,2.109375,2.28515625
373,481,496,36,0,-160,10765,11744,28.4765625,28.65234375
374,624,536,32,0,144,4670,4505,20.91796875,21.09375
375,472,492,-7,0,174,6230,7057,27.24609375,27.421875
376,665,741,10,0,174,11881,12499,39.0234375,39.19921875
377,583,545,52,0,93,2578,4066,6.15234375,6.328125
378,640,617,-31,0,127,9279,8891,31.81640625,31.9921875
379,694,498,36,0,145,10348,9532,26.89453125,27.0703125
380,626,742,-24,0,71,7447,7048,18.6328125,18.80859375
381,458,646,-24,0,165,11233,12399,32.51953125,32.6953125
382,655,745,34,0,-8,13136,14005,9.66796875,9.84375
383,488,748,-11,0,-8,3070,4462,-1.0,0.703125
384,476,548,26,0,137,3637,3447,17.9296875,18.10546875
385,738,617,51,0,23,6234,6507,5.9765625,6.15234375
386,507,488,41,0,-120,12723,13579,27.59765625,27.7734375
387,635,549,23,0,101,12977,13886,23.73046875,23.90625
388,707,709,8,0,-170,3155,2390,32.16796875,32.34375
389,715,621,-6,0,116,12291,11962,32.6953125,32.87109375
390,662,580,-47,0,55,3002,2960,13.53515625,13.7109375
391,500,633,29,0,6,6810,6359,3.69140625,3.8671875
392,612,726,-33,0,-173,7412,8538,30.9375,31.11328125
393,538,577,-47,0,-15,9900,10211,7.3828125,7.55859375
394,667,460,3,0,-43,11739,11983,16.69921875,16.875
395,723,633,7,0,134,11452,12210,33.57421875,33.75
396,714,624,58,0,100,11699,11203,15.46875,15.64453125
397,555,468,-44,0,-103,7883,8653,13.88671875,14.0625
398,513,497,14,0,-34,7934,8326,9.84375,10.01953125
399,570,459,14,0,145,11701,12687,29.1796875,29.35546875
400,657,717,-14,0,76,313,1650,8.96484375,9.140625
401,485,580,17,0,-56,2217,2171,6.6796875,6.85546875
402,530,570,30,0,54,12909,13062,13.0078125,13.18359375
403,459,505,49,0,-156,10863,10614,26.71875,26.89453125
404,611,718,57,0,172,11466,12163,26.54296875,26.71875
405,476,486,4,0,-8,6715,7092,5.9765625,6.15234375
406,563,595,54,0,56,8837,9192,7.734375,7.91015625
407,476,637,-4,0,102,8279,9259,22.32421875,22.5
408,549,738,-51,0,27,2705,4170,-1.0,0.703125
409,528,606,-8,0,122,12750,11510,30.9375,31.11328125
410,701,505,23,0,179,7941,8046,30.9375,31.11328125
411,462,535,36,0,76,9076,9306,10.8984375,11.07421875
412,544,705,-31,0,159,10232,9743,34.453125,34.62890625
413,687,591,-35,0,-48,6213,6924,6.85546875,7.03125
414,566,638,8,0,-138,11585,10593,33.92578125,34.1015625
415,564,703,19,0,-168,7091,6450,33.3984375,33.57421875
416,744,663,23,0,-94,1838,2038,19.51171875,19.6875
417,565,655,-50,0,-53,3540,3585,3.69140625,3.8671875
418,689,568,57,0,-154,8528,9088,27.59765625,27.7734375
419,685,539,-38,0,-128,12182,12690,25.3125,25.48828125
420,553,538,56,0,94,13507,13081,15.29296875,15.46875
421,507,543,7,0,-28,10406,11254,10.1953125,10.37109375
422,630,707,-46,0,-99,12152,10836,16.34765625,16.5234375
423,560,521,33,0,-110,8642,8205,26.3671875,26.54296875
424,565,650,50,0,33,8023,9012,5.625,5.80078125
425,615,521,47,0,72,6192,7435,8.4375,8.61328125
426,639,474,-60,0,129,3996,2962,22.1484375,22.32421875
