Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
0,742,466,-6,0,67,9775,8311,0.0,45.0
1,555,686,44,0,71,4850,6002,0.0,45.0
2,532,467,6,0,70,5674,4461,0.0,45.0
3,577,634,-55,0,35,2576,3522,0.0,45.0
4,631,645,-7,0,-35,11362,10912,0.0,45.0
5,683,539,27,0,-25,11147,11108,0.0,45.0
6,518,683,38,0,-58,7507,8495,0.0,45.0
7,642,472,14,0,-178,4164,3188,0.0,45.0
8,549,605,8,0,7,12953,12412,0.0,45.0
9,610,731,-3,0,43,8004,6746,0.0,45.0
10,749,616,48,0,76,2866,2260,0.0,45.0
11,661,572,-56,0,-164,8440,8149,0.0,45.0
12,486,723,58,0,-139,2756,2806,0.0,45.0
13,740,641,56,0,127,2756,1694,0.0,45.0
14,499,676,-39,0,-83,6016,6266,0.0,45.0
15,662,678,-29,0,168,4804,3867,0.0,45.0
16,717,541,50,0,-119,4678,5020,0.0,45.0
17,604,534,24,0,152,3159,2356,0.0,45.0
18,695,627,-19,0,42,3968,2464,0.0,45.0
19,728,472,-18,0,-17,4279,3082,0.0,45.0
20,584,679,-9,0,118,2896,2971,0.0,45.0
21,703,573,34,0,88,4755,5361,0.0,45.0
22,697,705,-52,0,-95,8322,9559,0.0,45.0
23,686,655,-43,0,35,9172,10043,0.0,45.0
24,628,725,-11,0,70,11801,10956,0.0,45.0
25,674,724,-52,0,-155,6032,4887,0.0,45.0
26,527,505,17,0,52,13403,13865,0.0,45.0
27,521,684,50,0,43,12995,13523,0.0,45.0
28,678,625,32,0,-48,13226,14560,0.0,45.0
29,684,666,-18,0,152,8818,9437,0.0,45.0
30,528,571,-19,0,136,843,2133,0.0,45.0
31,550,744,46,0,141,8151,6729,0.0,45.0
32,509,601,-5,0,-54,12071,11732,0.0,45.0
33,495,473,16,0,101,12867,11775,0.0,45.0
34,596,533,25,0,64,2618,2572,0.0,45.0
35,655,548,-16,0,-87,1610,2508,0.0,45.0
36,549,668,-34,0,-131,11516,11255,0.0,45.0
37,687,717,32,0,36,7637,8833,0.0,45.0
38,734,556,-26,0,125,6273,5223,0.0,45.0
39,453,557,-6,0,132,6996,7036,0.0,45.0
40,552,485,38,0,36,13364,12204,0.0,45.0
41,478,628,-28,0,4,7789,8002,0.0,45.0
42,549,594,-1,0,175,5120,5670,0.0,45.0
43,705,709,56,0,-46,6932,7216,0.0,45.0
44,624,628,32,0,-39,8210,8515,0.0,45.0
45,694,695,-50,0,173,9148,10572,0.0,45.0
46,637,657,56,0,-94,10182,10360,0.0,45.0
47,738,483,16,0,-24,571,1470,0.0,45.0
48,617,614,-51,0,23,10303,10310,0.0,45.0
49,594,545,-30,0,-94,5345,4211,0.0,45.0
50,734,477,-32,0,111,12508,11286,0.0,45.0
51,665,548,12,0,112,7501,8407,0.0,45.0
52,458,650,-35,0,-7,9712,8969,0.0,45.0
53,717,738,37,0,-13,1084,2253,0.0,45.0
54,746,475,-56,0,109,6299,6401,0.0,45.0
55,616,537,38,0,-100,2227,3185,0.0,45.0
56,626,534,-57,0,94,8678,8584,0.0,45.0
57,495,653,-4,0,115,6000,4720,0.0,45.0
58,524,677,30,0,61,10295,10620,0.0,45.0
59,676,539,-15,0,36,5929,6693,0.0,45.0
60,712,684,-11,0,-81,1893,2142,0.0,45.0
61,528,471,59,0,-85,10790,11862,0.0,45.0
62,547,741,-6,0,4,9464,9480,0.0,45.0
63,475,476,-39,0,-21,3962,2640,0.0,45.0
64,746,540,-48,0,145,9553,9505,0.0,45.0
65,545,604,48,0,-159,6788,7713,0.0,45.0
66,669,489,-16,0,-81,8359,7501,0.0,45.0
67,536,657,43,0,59,13039,12859,0.0,45.0
68,469,538,46,0,-90,9829,11197,0.0,45.0
69,665,528,5,0,148,11721,11802,0.0,45.0
70,498,653,44,0,-120,4155,3068,0.0,45.0
71,666,609,32,0,-32,9046,10182,0.0,45.0
72,500,626,46,0,87,10457,10879,0.0,45.0
