Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
0,713,823,4,0,51,8472,10997,-1.0,0.703125
1,444,439,6,0,63,10471,13214,14.94140625,15.1171875
2,440,346,4,0,-25,2475,931,6.6796875,6.85546875
3,801,292,9,0,22,7573,10643,14.765625,14.94140625
4,444,497,9,0,-165,12900,14414,30.76171875,30.9375
5,584,701,8,0,-80,8657,8285,18.10546875,18.28125
6,551,761,-10,0,159,1544,3004,29.8828125,30.05859375
7,534,666,7,0,-138,11748,11542,33.57421875,33.75
8,826,360,2,0,-125,14022,14119,33.3984375,33.57421875
9,464,303,5,0,12,11766,12735,14.4140625,14.58984375
10,679,324,8,0,142,3404,6646,20.7421875,20.91796875
11,526,594,-8,0,-21,5601,3439,-1.0,0.703125
12,669,370,-6,0,-54,11735,10276,18.45703125,18.6328125
13,261,311,4,0,69,3063,6364,-1.0,0.703125
14,822,442,4,0,80,3276,2062,12.83203125,13.0078125
15,679,642,-7,0,22,7045,6502,6.15234375,6.328125
16,250,526,8,0,-25,14649,12523,-1.0,0.703125
17,465,441,2,0,128,10667,13107,25.48828125,25.6640625
18,352,293,-6,0,-71,7386,7215,13.0078125,13.18359375
19,342,463,8,0,145,4133,1974,20.56640625,20.7421875
20,627,630,9,0,52,2236,4760,-1.0,0.703125
21,745,838,-6,0,17,3147,5999,-1.0,0.703125
22,407,568,-3,0,132,4239,7895,21.97265625,22.1484375
23,444,412,7,0,-80,11407,12301,19.6875,19.86328125
24,289,774,-2,0,-58,12273,15758,11.953125,12.12890625
25,651,513,3,0,125,8196,8313,27.0703125,27.24609375
26,782,429,-8,0,-116,3894,5534,20.56640625,20.7421875
27,822,325,-2,0,-72,15182,14566,27.59765625,27.7734375
28,266,320,-2,0,30,7454,7208,8.96484375,9.140625
29,311,297,-5,0,-36,6194,8257,-1.0,0.703125
30,835,384,-8,0,5,2419,3822,8.0859375,8.26171875
31,588,784,8,0,-109,9816,7817,28.828125,29.00390625
32,268,736,1,0,178,5260,3248,29.8828125,30.05859375
33,271,326,5,0,-146,12120,12382,23.37890625,23.5546875
34,576,389,-8,0,-142,7575,9762,24.9609375,25.13671875
35,626,295,-6,0,-6,5916,4325,10.72265625,10.8984375
36,734,329,3,0,-165,14299,16108,33.22265625,33.3984375
37,836,264,9,0,159,6416,7236,26.19140625,26.3671875
38,368,513,3,0,-11,6516,9916,-1.0,0.703125
39,844,718,4,0,56,13887,16034,20.7421875,20.91796875
40,335,781,6,0,-165,5234,7873,30.05859375,30.234375
41,339,742,-10,0,-63,11593,10231,10.72265625,10.8984375
42,759,747,-2,0,-175,6180,6360,36.5625,36.73828125
43,396,457,6,0,-94,12501,13020,21.796875,21.97265625
44,702,760,-3,0,-13,6783,9952,-1.0,0.703125
45,506,453,3,0,-78,14574,14042,22.5,22.67578125
46,643,474,8,0,-18,3590,2419,5.80078125,5.9765625
47,387,758,1,0,-160,11804,10043,34.98046875,35.15625
48,533,423,-7,0,50,7874,7842,12.65625,12.83203125
49,469,673,2,0,140,8671,10430,29.35546875,29.53125
50,572,713,0,0,-142,13729,11700,36.2109375,36.38671875
51,534,292,-2,0,112,5955,6200,19.51171875,19.6875
52,827,269,-6,0,27,7603,6872,15.8203125,15.99609375
53,275,522,-3,0,-108,13207,11305,21.796875,21.97265625
54,368,707,-7,0,142,8923,12003,29.1796875,29.35546875
55,627,329,-4,0,-78,13649,15255,23.5546875,23.73046875
56,512,432,-10,0,61,8914,12478,15.46875,15.64453125
57,287,433,-3,0,-41,12908,13454,12.3046875,12.48046875
58,802,782,6,0,134,12541,11559,38.14453125,38.3203125
59,652,479,-8,0,30,14777,18408,17.9296875,18.10546875
60,647,383,4,0,52,3377,6215,-1.0,0.703125
61,256,635,7,0,111,10845,12676,20.390625,20.56640625
62,601,724,0,0,153,3508,2032,29.53125,29.70703125
63,376,468,-3,0,19,1591,1843,3.1640625,3.33984375
64,799,578,-2,0,-172,5861,7709,32.6953125,32.87109375
65,334,288,4,0,-5,9168,10334,10.72265625,10.8984375
66,531,749,-10,0,-69,13408,11646,16.5234375,16.69921875
67,689,285,-5,0,92,5640,8978,18.28125,18.45703125
68,393,731,-6,0,84,14906,18547,22.32421875,22.5
69,780,700,5,0,116,11441,9859,32.34375,32.51953125
70,476,699,6,0,106,4906,7220,18.45703125,18.6328125
71,418,785,6,0,106,4354,4621,16.69921875,16.875
72,640,463,-1,0,-108,9076,11084,24.609375,24.78515625
73,529,836,5,0,-78,6887,8991,14.58984375,14.765625
74,367,765,-10,0,129,6329,4270,27.0703125,27.24609375
75,801,295,6,0,25,9064,11389,0.0,22.5
76,374,752,-8,0,173,2884,1137,22.5,45.0
77,801,719,3,0,26,4562,4293,0.0,22.5
78,734,754,-6,0,-7,7257,8874,0.0,22.5
79,787,574,-7,0,-82,7025,9800,0.0,22.5
80,280,516,-6,0,179,12919,10819,22.5,45.0
81,286,448,-6,0,-64,345,3687,0.0,22.5
82,540,579,1,0,-55,10306,12106,0.0,22.5
83,357,761,8,0,-118,14109,16004,22.5,45.0
84,506,452,6,0,43,532,1324,0.0,22.5
85,673,792,9,0,-99,8969,8356,22.5,45.0
86,796,473,6,0,-70,14099,16260,22.5,45.0
87,389,488,1,0,-88,5327,7981,0.0,22.5
88,572,449,-4,0,-81,14693,13200,22.5,45.0
89,387,495,-6,0,-135,4403,5294,0.0,22.5
90,349,695,3,0,98,13094,16582,0.0,22.5
91,379,455,2,0,141,11378,9237,22.5,45.0
92,348,455,8,0,169,6010,6683,22.5,45.0
93,368,767,0,0,77,11386,10648,0.0,22.5
94,322,743,-7,0,-168,765,2998,22.5,45.0
95,777,832,5,0,-105,3257,2482,0.0,22.5
96,367,458,-5,0,-100,4790,8016,0.0,22.5
97,347,843,-9,0,-112,11308,12807,22.5,45.0
98,329,349,0,0,20,7802,9009,0.0,22.5
99,777,613,3,0,-73,9997,10767,0.0,22.5
100,263,291,-4,0,-88,6835,8267,0.0,45.0
101,618,629,2,0,-81,10062,9128,0.0,45.0
102,347,774,-10,0,-15,14785,13193,0.0,45.0
103,664,833,9,0,-83,8414,10917,0.0,45.0
104,599,514,-2,0,-121,12348,11373,0.0,45.0
105,665,386,0,0,95,11535,12278,0.0,45.0
106,692,435,2,0,-75,11991,11219,0.0,45.0
107,614,300,-3,0,-41,11065,11227,0.0,45.0
108,595,471,2,0,111,3133,5213,0.0,45.0
109,328,648,6,0,74,10674,10134,0.0,45.0
110,372,654,8,0,-169,2032,4787,0.0,45.0
111,360,492,-2,0,47,6731,8580,0.0,45.0
112,301,450,2,0,-175,1764,1596,0.0,45.0
113,506,532,0,0,101,9007,10881,0.0,45.0
114,675,783,8,0,-129,10605,11959,0.0,45.0
115,328,812,9,0,162,12591,10674,0.0,45.0
116,645,413,2,0,61,2922,4695,0.0,45.0
117,804,309,3,0,73,7044,7088,0.0,45.0
118,789,658,9,0,-21,6141,8200,0.0,45.0
119,542,744,-2,0,107,4797,7947,0.0,45.0
120,553,277,-10,0,-55,9749,7813,0.0,45.0
121,410,668,2,0,-153,14857,15152,0.0,45.0
122,657,301,8,0,-17,1356,902,0.0,45.0
123,689,739,-2,0,-56,896,2897,0.0,45.0
124,350,729,-6,0,-55,10041,13541,0.0,45.0
125,367,301,9,0,33,7618,6298,0.0,45.0
126,458,303,1,0,90,2687,1419,0.0,45.0
127,622,703,-6,0,161,6983,8428,0.0,45.0
128,518,846,3,0,6,12898,14960,0.0,45.0
129,390,547,-6,0,-58,8034,6680,0.0,45.0
130,765,566,6,0,139,14022,14678,0.0,45.0
131,531,528,9,0,170,12031,14372,0.0,45.0
132,444,535,-3,0,-83,4230,6057,0.0,45.0
133,450,290,-9,0,-176,4591,4430,0.0,45.0
134,685,277,9,0,-161,1830,1367,0.0,45.0
135,804,534,-8,0,-136,15108,18362,0.0,45.0
136,414,813,-3,0,143,6266,7945,0.0,45.0
137,740,612,-4,0,-7,5783,7547,0.0,45.0
138,386,326,-7,0,49,13409,16232,0.0,45.0
139,468,705,3,0,-48,6543,5491,0.0,45.0
140,627,407,9,0,-14,4917,7125,0.0,45.0
141,438,687,1,0,117,1741,3239,0.0,45.0
142,581,330,7,0,-138,7229,9565,0.0,45.0
143,831,746,4,0,-27,13644,11434,0.0,45.0
144,327,567,-4,0,158,10043,8426,0.0,45.0
145,561,756,0,0,-36,14597,13481,0.0,45.0
146,474,616,0,0,7,15000,13675,0.0,45.0
147,580,701,8,0,124,15201,18543,0.0,45.0
148,535,698,6,0,-24,7660,7975,0.0,45.0
149,476,659,6,0,-53,1532,2208,0.0,45.0
150,624,274,1,0,166,6633,9137,0.0,45.0
151,646,449,8,0,8,13211,14121,0.0,45.0
152,803,408,8,0,108,3056,2216,0.0,45.0
153,341,715,-1,0,-169,3776,5714,0.0,45.0
154,309,807,-5,0,110,4999,2896,0.0,45.0
155,682,315,8,0,99,5156,7338,0.0,45.0
156,336,592,-8,0,-40,12227,10804,0.0,45.0
157,571,336,-10,0,144,10859,9751,0.0,45.0
158,349,682,-3,0,-68,8163,10149,0.0,45.0
159,596,720,2,0,-1,5686,6127,0.0,45.0
160,389,755,5,0,95,13337,16956,0.0,45.0
161,324,297,3,0,161,5872,3617,0.0,45.0
162,637,341,4,0,97,10642,8555,0.0,45.0
163,786,620,-10,0,-124,7059,8217,0.0,45.0
164,399,501,-5,0,145,6304,9621,0.0,45.0
165,421,578,-4,0,19,7114,9162,0.0,45.0
166,549,530,-9,0,61,5205,3859,0.0,45.0
167,560,409,-5,0,-149,12491,13963,0.0,45.0
168,267,848,5,0,-162,5272,3876,0.0,45.0
169,452,438,1,0,-69,9791,9433,0.0,45.0
170,733,770,-3,0,46,3182,3198,0.0,45.0
171,662,426,-1,0,140,9134,11356,0.0,45.0
172,740,516,5,0,26,15131,15647,0.0,45.0
173,810,344,5,0,-67,6696,4817,0.0,45.0
174,472,387,2,0,90,13172,15111,0.0,45.0
175,531,309,-3,0,-175,14472,16057,0.0,45.0
176,630,710,-3,0,35,10081,9083,0.0,45.0
177,675,410,0,0,-106,4402,6344,0.0,45.0
178,835,432,-10,0,-76,13610,12544,0.0,45.0
179,381,334,1,0,-42,10225,13808,0.0,45.0
180,790,349,5,0,175,7830,6222,0.0,45.0
181,806,768,-1,0,-171,13084,12336,0.0,45.0
182,676,447,-8,0,45,3566,1584,0.0,45.0
183,806,673,6,0,73,2733,2998,0.0,45.0
184,573,568,2,0,-142,9267,9485,0.0,45.0
185,728,318,1,0,-142,11409,10274,0.0,45.0
186,358,653,4,0,-118,10866,12227,0.0,45.0
187,262,636,5,0,-59,4960,7295,0.0,45.0
188,366,719,-10,0,-75,14922,17682,0.0,45.0
189,405,547,2,0,96,12435,12591,0.0,45.0
