Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
0,835,183,-6,0,67,9623,7458,-1.0,0.703125
1,461,623,44,0,71,13645,13632,12.48046875,12.65625
2,414,185,6,0,70,5522,3859,13.0078125,13.18359375
3,505,519,-55,0,35,14244,13094,16.171875,16.34765625
4,613,540,-7,0,-35,13699,16942,15.29296875,15.46875
5,518,617,-38,0,171,5118,8253,22.5,22.5
6,621,286,-2,0,-58,7355,10093,15.29296875,15.46875
7,634,195,14,0,-178,4012,2823,20.390625,21.09375
8,449,460,8,0,7,12801,12482,11.42578125,11.6015625
9,571,832,10,0,50,7295,8859,6.50390625,6.6796875
10,316,818,14,0,-14,13981,15806,6.15234375,6.328125
11,758,458,44,0,130,10930,9234,22.5,22.5
12,796,232,-41,0,16,9445,10224,17.578125,17.75390625
13,403,265,39,0,-131,7386,6462,20.390625,21.09375
14,445,507,-5,0,32,7452,7176,7.3828125,7.55859375
15,531,296,19,0,87,3075,1767,11.42578125,11.6015625
16,523,616,-22,0,-96,10972,14000,19.51171875,19.6875
17,428,330,1,0,-3,5526,6801,8.0859375,8.26171875
18,479,155,9,0,-158,5585,5915,20.390625,21.09375
19,498,231,-27,0,49,6784,9272,14.4140625,14.58984375
20,412,549,57,0,73,11184,10875,9.4921875,9.66796875
21,787,428,6,0,67,10016,11825,19.51171875,19.6875
22,314,320,2,0,165,7712,8712,21.09375,22.5
23,389,580,9,0,119,5873,7999,19.86328125,20.0390625
24,647,651,29,0,-96,9306,10635,22.5,22.5
25,351,575,46,0,-162,14439,12176,22.5,22.5
26,699,698,-52,0,-155,5880,4353,18.28125,18.45703125
27,405,261,17,0,52,13807,15494,17.40234375,17.578125
28,392,619,50,0,43,12843,14662,8.0859375,8.26171875
29,707,501,32,0,-48,14863,18293,21.09375,22.5
30,719,583,-18,0,152,8666,10667,22.5,22.5
31,407,393,-19,0,136,691,4033,19.51171875,19.6875
32,450,808,55,0,121,9578,12440,15.29296875,15.46875
33,740,175,43,0,-121,5006,6286,20.0390625,20.390625
34,502,446,53,0,-135,909,3515,19.16015625,19.3359375
35,813,258,44,0,-34,2816,6018,13.0078125,13.18359375
36,738,294,-14,0,124,6716,6002,22.5,22.5
37,608,336,-50,0,122,3341,4550,19.86328125,20.0390625
38,462,248,27,0,-23,14693,16206,18.28125,18.45703125
39,784,583,-3,0,160,12332,14596,22.5,22.5
40,463,422,16,0,6,2051,4903,-1.0,0.703125
41,257,364,-6,0,132,6844,7686,19.6875,19.86328125
42,454,221,38,0,36,13212,11655,16.171875,16.34765625
43,306,506,-28,0,4,7637,8825,-1.0,0.703125
44,448,793,35,0,-36,7798,11206,-1.0,0.703125
45,551,668,3,0,79,15029,14902,22.5,22.5
46,664,602,21,0,-6,5869,5852,5.2734375,5.44921875
47,744,607,49,0,64,9772,11417,11.6015625,11.77734375
48,335,702,32,0,7,13277,16906,-1.0,0.703125
49,664,322,17,0,32,11959,14295,17.40234375,17.578125
50,317,759,48,0,-24,419,2980,-1.0,0.703125
51,585,817,-19,0,-143,12283,13245,22.5,22.5
52,632,439,17,0,-85,4098,3192,16.875,17.05078125
53,565,247,11,0,-153,3754,6137,20.390625,21.09375
54,325,581,-36,0,111,9521,10833,22.5,22.5
55,266,551,-35,0,-7,14045,16463,-1.0,0.703125
56,445,685,59,0,108,12670,13060,14.0625,14.23828125
57,828,524,50,0,23,5469,8107,-1.0,0.703125
58,425,311,-45,0,130,13084,13627,22.5,22.5
59,418,181,32,0,94,8526,9101,15.1171875,15.29296875
60,340,556,-4,0,115,14584,15146,22.5,22.5
61,311,299,58,0,47,11727,13297,10.546875,10.72265625
62,712,602,17,0,-91,5948,7131,21.09375,22.5
63,601,722,5,0,54,6512,5818,7.20703125,7.3828125
64,444,733,-6,0,4,9312,10107,3.1640625,3.33984375
65,301,769,-54,0,-96,5246,4789,4.04296875,4.21875
66,300,743,-38,0,-129,10575,12913,19.86328125,20.0390625
67,619,340,-22,0,-159,6636,9249,22.5,22.5
68,689,229,-16,0,-81,8207,7254,17.9296875,18.10546875
69,422,565,43,0,59,12887,13290,10.8984375,11.07421875
70,288,327,46,0,-90,9677,13176,18.45703125,18.6328125
71,680,306,5,0,148,14733,18155,22.5,22.5
72,651,246,-10,0,-120,4003,2592,18.10546875,18.28125
73,682,804,-21,0,-32,8894,11929,-1.0,0.703125
74,351,503,46,0,87,10305,11911,11.77734375,11.953125
75,500,695,-23,0,-174,11049,10057,22.5,22.5
76,645,384,-48,0,81,10588,12187,22.5,22.5
77,352,740,55,0,24,9700,9198,3.1640625,3.33984375
78,544,513,-52,0,-84,10349,12635,13.0078125,13.18359375
79,793,176,-51,0,24,13443,11413,21.09375,22.5
80,267,818,47,0,40,5697,4870,-1.0,0.703125
81,298,517,-19,0,140,7952,7067,22.5,22.5
82,269,360,-44,0,-32,13597,12962,10.37109375,10.546875
83,502,402,-11,0,134,9081,11583,22.5,22.5
84,376,178,47,0,-152,11386,10557,20.390625,21.09375
85,377,544,-52,0,-173,10999,12268,22.5,22.5
86,437,789,-7,0,-156,9190,8292,22.5,22.5
87,304,535,14,0,55,7611,8075,7.20703125,7.3828125
88,440,185,-9,0,141,7685,9403,20.390625,21.09375
89,623,831,-51,0,-109,4498,4286,7.20703125,7.3828125
90,430,243,-2,0,-174,2668,2659,19.16015625,19.3359375
91,330,687,-21,0,-108,12716,11286,20.0390625,20.390625
92,799,273,-24,0,136,13368,13823,22.5,22.5
93,253,739,-27,0,145,12500,14453,11.953125,12.12890625
94,687,671,-42,0,-150,10537,8714,22.5,22.5
95,400,463,50,0,173,13946,15091,22.5,22.5
96,404,177,-13,0,84,11118,14648,-1.0,0.703125
97,368,639,-22,0,57,14096,15608,16.875,17.05078125
98,429,790,-42,0,-166,6751,9456,22.5,22.5
99,407,612,24,0,178,13676,12856,22.5,22.5
100,596,668,25,0,60,2687,754,-1.0,0.703125
101,751,754,-11,0,-95,7846,11310,20.0390625,20.390625
102,530,366,3,0,86,5942,9010,15.29296875,15.46875
103,826,719,-12,0,-104,14750,17720,22.5,22.5
104,574,474,-44,0,-152,7650,5800,20.390625,21.09375
105,592,690,6,0,-156,6379,9089,22.5,22.5
106,333,186,-44,0,-163,312,1025,12.83203125,13.0078125
107,695,376,24,0,64,13821,16172,20.390625,21.09375
108,342,255,-52,0,7,13395,14844,13.53515625,13.7109375
109,688,468,-38,0,-116,12664,15540,22.5,22.5
110,659,706,29,0,96,3306,6597,-1.0,0.703125
111,497,309,47,0,15,3726,5663,7.734375,7.91015625
112,751,829,-11,0,-83,1264,3362,7.55859375,7.734375
113,408,770,15,0,95,2285,584,6.50390625,6.6796875
