Port,dShot,lCrank,lBreak,final_score,blue_kills,red_kills
12520,0.52,0.83,0.91,1.0,1.0,0.0
12660,1.09,0.98,1.08,1.0,1.0,0.0
12661,1.09,0.7,0.75,1.0,1.0,0.0
12720,0.57,0.83,0.98,1.0,1.0,0.0
12721,0.69,0.98,0.98,1.0,1.0,0.0
12860,1.16,0.98,1.08,1.0,1.0,0.0
12861,1.16,0.98,1.17,1.0,1.0,0.0
12880,1.16,1.16,1.17,1.0,1.0,0.0
13020,1.04,0.93,1.05,1.0,1.0,0.0
13060,1.04,1.14,1.05,1.0,1.0,0.0
13061,1.04,1.06,1.05,1.0,1.0,0.0
13080,0.57,1.07,0.61,1.0,1.0,0.0
13081,0.5,0.96,1.05,1.0,1.0,0.0
13400,0.52,0.73,0.89,1.0,1.0,0.0
12881,0.5,0.98,1.17,0.99,0.99,0.0
13040,1.04,0.96,1.17,0.99,0.99,0.01
12521,0.54,0.8,1.14,0.97,0.97,0.0
13041,1.04,0.96,1.05,0.92,0.96,0.04
13360,0.99,0.96,0.84,0.89,0.94,0.05
12620,1.09,0.98,0.45,0.87,0.87,0.0
13340,1.12,0.73,0.84,0.87,0.93,0.07
12761,0.57,1.16,0.98,0.8,0.8,0.0
12762,0.57,0.83,1.08,0.8,0.8,0.0
12901,0.5,0.64,1.17,0.8,0.8,0.0
12902,0.5,0.96,1.17,0.8,0.8,0.0
13421,0.52,0.73,0.84,0.79,0.79,0.0
12980,1.04,0.96,0.48,0.74,0.76,0.02
13001,1.04,0.98,0.48,0.73,0.83,0.1
13320,0.99,0.73,0.84,0.7,0.84,0.14
13402,0.67,0.96,0.89,0.69,0.97,0.29
12701,1.09,0.98,1.02,0.65,0.83,0.17
13280,0.99,0.36,0.34,0.65,0.65,0.01
12702,1.09,0.98,0.98,0.61,0.81,0.19
12981,1.04,1.17,0.37,0.6,0.61,0.01
12542,0.54,0.98,0.98,0.6,0.6,0.0
12681,1.09,0.98,0.75,0.6,0.8,0.2
12682,1.09,0.83,0.98,0.6,0.8,0.2
13102,0.5,1.14,1.05,0.6,0.6,0.0
13381,0.67,0.73,0.89,0.6,0.81,0.21
13440,0.52,0.76,0.89,0.6,0.6,0.0
13441,0.52,1.07,0.84,0.6,0.6,0.0
13362,1.13,0.73,0.84,0.55,0.77,0.23
13480,1.01,1.03,0.45,0.54,0.54,0.0
13021,1.04,0.93,0.48,0.53,0.73,0.21
13321,0.99,0.96,0.51,0.49,0.72,0.23
12522,0.93,1.05,1.14,0.48,0.99,0.51
12840,1.16,1.16,0.54,0.46,0.55,0.09
12641,0.92,0.8,0.45,0.46,0.57,0.11
13460,0.52,0.76,0.45,0.46,0.66,0.2
13481,0.99,0.96,0.35,0.42,0.42,0.0
12742,0.69,0.98,1.08,0.4,0.8,0.4
12940,0.5,0.96,0.48,0.39,0.67,0.28
12941,0.5,0.2,0.37,0.37,0.51,0.14
12580,0.52,0.8,0.45,0.36,0.49,0.13
12800,0.57,0.83,0.54,0.36,0.76,0.4
12560,0.52,1.07,0.45,0.35,0.67,0.33
12581,0.45,1.07,0.45,0.33,0.37,0.04
13301,0.99,0.69,0.34,0.32,0.49,0.17
12842,0.83,0.44,0.54,0.3,0.56,0.26
12820,1.16,0.98,0.54,0.29,0.31,0.03
13461,0.52,0.44,0.29,0.27,0.29,0.01
13160,0.5,0.69,0.51,0.27,0.28,0.01
13180,0.93,1.07,0.89,0.27,0.63,0.37
13002,1.04,0.93,0.35,0.26,0.55,0.29
12822,0.57,1.11,0.54,0.25,0.63,0.39
13302,0.99,0.99,0.34,0.25,0.45,0.2
13282,0.93,0.69,0.51,0.23,0.46,0.23
13342,1.12,0.36,0.5,0.21,0.61,0.39
12561,0.45,1.07,0.34,0.21,0.22,0.01
13221,0.5,0.59,0.51,0.19,0.29,0.11
12642,1.09,0.76,0.34,0.16,0.36,0.2
13241,0.51,0.73,0.51,0.16,0.19,0.03
12962,0.57,0.17,0.37,0.15,0.29,0.14
13182,0.5,0.73,0.51,0.13,0.15,0.02
13202,0.93,1.07,0.51,0.13,0.49,0.35
13140,0.5,1.07,0.25,0.11,0.13,0.01
12600,0.45,0.8,0.45,0.11,0.17,0.06
12601,0.52,0.98,0.45,0.11,0.23,0.12
13382,1.1,0.73,0.84,0.11,0.55,0.45
13161,0.5,0.69,0.25,0.09,0.09,0.01
13260,0.93,0.69,0.34,0.07,0.07,0.0
13261,0.26,0.36,0.28,0.05,0.05,0.0
12621,0.45,0.7,0.34,0.03,0.03,0.0
12513,0.79,1.17,1.09,0.03,0.87,0.83
12519,0.35,0.4,0.34,0.03,0.34,0.31
12503,0.21,1.01,0.58,0.03,0.51,0.48
13141,0.57,0.59,0.23,0.01,0.04,0.03
