episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,4,0,0,4096,4096,512,512,512,512,41.62107255190594,41.62107255190594,512,512,4096,False,0,1,c86b3_00000,2024-02-15_13-55-49,1708023349,12.30511474609375,12.30511474609375,29795,ThinkPadKur,172.23.148.251,12.30511474609375,1,512,512,4096,4096,nan,nan,nan,nan,0,0,[],[],12301.398,2295.403,4.463,114722.135,9994.699,51.227,5.817,512,512,4096,4096,16.12777777777778,46.53888888888889,[],[],320.5,319.5,0.19999999999999998,2e-05,-0.10790524952262785,-0.0026951729669235647,0.21928985383892724,-0.5035761538892984,0.0006731881294192322,1.6016717186197638,0.09999999999999999
nan,nan,nan,nan,0,0,4,0,0,8192,8192,1024,1024,512,512,44.74712655102588,44.74712655102588,1024,512,8192,False,0,2,c86b3_00000,2024-02-15_13-56-01,1708023361,11.448716640472412,23.753831386566162,29795,ThinkPadKur,172.23.148.251,23.753831386566162,2,1024,1024,8192,8192,nan,nan,nan,nan,0,0,[],[],11871.708,2169.664,5.687,90037.468,9688.704,52.845,6.573,1024,1024,8192,8192,15.475,47.037499999999994,[],[],960.5,319.5,0.09999999999999999,2e-05,-0.12642044680105755,-0.003206567862071097,0.1473230612464249,-0.6323007327504456,0.0007510472366604182,1.6011974459514022,0.09999999999999999
nan,nan,nan,nan,0,0,4,0,0,12288,12288,1536,1536,512,512,45.397438372693124,45.397438372693124,1536,512,12288,False,0,3,c86b3_00000,2024-02-15_13-56-12,1708023372,11.282727718353271,35.036559104919434,29795,ThinkPadKur,172.23.148.251,35.036559104919434,3,1536,1536,12288,12288,nan,nan,nan,nan,0,0,[],[],11673.85,2119.572,7.641,67004.867,9539.412,53.672,6.278,1536,1536,12288,12288,15.743749999999999,47.05,[],[],1600.5,319.5,0.049999999999999996,2e-05,-0.13635642898907463,-0.004337189311627299,0.11088885481585749,-0.7181533760391176,0.0010067057830907933,1.5979178488254546,0.09999999999999999
-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,4,0,4,0,0,16384,16384,2048,2048,512,512,44.30087261109207,44.30087261109207,2048,512,16384,False,4,4,c86b3_00000,2024-02-15_13-56-24,1708023384,11.561710357666016,46.59826946258545,29795,ThinkPadKur,172.23.148.251,46.59826946258545,4,2048,2048,16384,16384,-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,4,0,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",11644.713,2104.886,7.83,65389.827,9524.804,53.754,6.189,2048,2048,16384,16384,14.929411764705883,47.08823529411765,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",2240.5,319.5,0.024999999999999998,2e-05,-0.09260556694644037,-0.002086867898469791,0.2762107594229747,-0.31045094700530174,0.0005826407251448451,1.59585951436311,0.09999999999999999
-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,0,0,4,0,0,20480,20480,2560,2560,512,512,43.69628338864033,43.69628338864033,2560,512,20480,False,4,5,c86b3_00000,2024-02-15_13-56-36,1708023396,11.720872640609741,58.31914210319519,29795,ThinkPadKur,172.23.148.251,58.31914210319519,5,2560,2560,20480,20480,-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,0,0,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",11659.212,2108.766,8.016,63868.344,9534.895,53.697,6.495,2560,2560,20480,20480,14.988235294117647,47.08823529411765,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",2880.5,319.5,0.012499999999999999,2e-05,-0.12300970377073099,-0.004261858179233968,0.16233647016051692,-0.7240579022094608,0.0014231652206306753,1.5934975177049637,0.09999999999999999
-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,0,0,4,0,0,24576,24576,3072,3072,512,512,44.23055352091172,44.23055352091172,3072,512,24576,False,4,6,c86b3_00000,2024-02-15_13-56-47,1708023407,11.57974123954773,69.89888334274292,29795,ThinkPadKur,172.23.148.251,69.89888334274292,6,3072,3072,24576,24576,-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,0,0,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",11645.289,2175.243,7.445,68775.231,9455.124,54.151,6.4,3072,3072,24576,24576,16.75625,47.1,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",3520.5,319.5,0.0062499999999999995,2e-05,-0.08636890683883394,-0.007309909659670666,0.322881416749442,-0.6964919621124863,0.008113896490249455,1.5983005994930863,0.09999999999999999
-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,0,0,4,0,0,28672,28672,3584,3584,512,512,48.763056291365466,48.763056291365466,3584,512,28672,False,4,7,c86b3_00000,2024-02-15_13-56-58,1708023418,10.505162954330444,80.40404629707336,29795,ThinkPadKur,172.23.148.251,80.40404629707336,7,3584,3584,28672,28672,-313.0662500000021,-351.6874999999976,-334.3228124999993,500.0,0,0,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",11481.634,2174.169,7.242,70699.715,9292.648,55.097,6.429,3584,3584,28672,28672,16.073333333333334,47.14000000000001,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005]","[500, 500, 500, 500]",4160.5,319.5,0.0062499999999999995,2e-05,-0.13699355302985622,-0.005665289756143466,0.11298992373049259,-0.8916740348562598,0.0031464576413045035,1.5959540894255042,0.09999999999999999
-313.0662500000021,-368.67000000000075,-343.1020312499994,500.0,4,0,4,0,0,32768,32768,4096,4096,512,512,47.84889233705574,47.84889233705574,4096,512,32768,False,8,8,c86b3_00000,2024-02-15_13-57-08,1708023428,10.704886436462402,91.10893273353577,29795,ThinkPadKur,172.23.148.251,91.10893273353577,8,4096,4096,32768,32768,-313.0662500000021,-368.67000000000075,-343.1020312499994,500.0,4,0,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005, -368.67000000000075, -358.7174999999991, -350.69749999999834, -329.4399999999999]","[500, 500, 500, 500, 500, 500, 500, 500]",11383.968,2151.538,7.188,71225.769,9217.697,55.545,6.379,4096,4096,32768,32768,15.433333333333335,47.05333333333335,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005, -368.67000000000075, -358.7174999999991, -350.69749999999834, -329.4399999999999]","[500, 500, 500, 500, 500, 500, 500, 500]",4800.5,319.5,0.0031249999999999997,2e-05,-0.1298104151228472,-0.004912827603402547,0.1347653882141458,-0.623200015630573,0.002158673967666125,1.5859567860141397,0.09999999999999999
-313.0662500000021,-368.67000000000075,-343.1020312499994,500.0,0,0,4,0,0,36864,36864,4608,4608,512,512,43.46593877852313,43.46593877852313,4608,512,36864,False,8,9,c86b3_00000,2024-02-15_13-57-20,1708023440,11.784234762191772,102.89316749572754,29795,ThinkPadKur,172.23.148.251,102.89316749572754,9,4608,4608,36864,36864,-313.0662500000021,-368.67000000000075,-343.1020312499994,500.0,0,0,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005, -368.67000000000075, -358.7174999999991, -350.69749999999834, -329.4399999999999]","[500, 500, 500, 500, 500, 500, 500, 500]",11427.894,2131.547,6.839,74860.862,9281.956,55.161,6.38,4608,4608,36864,36864,15.13529411764706,47.14705882352942,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005, -368.67000000000075, -358.7174999999991, -350.69749999999834, -329.4399999999999]","[500, 500, 500, 500, 500, 500, 500, 500]",5440.5,319.5,0.0015624999999999999,2e-05,-0.12470190801395802,-0.005350275814998895,0.15494931650464422,-0.8466224164701999,0.00276293694541041,1.580932760797441,0.09999999999999999
-313.0662500000021,-368.67000000000075,-343.1020312499994,500.0,0,0,4,0,0,40960,40960,5120,5120,512,512,44.879990993421096,44.879990993421096,5120,512,40960,False,8,10,c86b3_00000,2024-02-15_13-57-32,1708023452,11.416380882263184,114.30954837799072,29795,ThinkPadKur,172.23.148.251,114.30954837799072,10,5120,5120,40960,40960,-313.0662500000021,-368.67000000000075,-343.1020312499994,500.0,0,0,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005, -368.67000000000075, -358.7174999999991, -350.69749999999834, -329.4399999999999]","[500, 500, 500, 500, 500, 500, 500, 500]",11425.921,2129.632,6.64,77103.391,9281.502,55.163,6.974,5120,5120,40960,40960,15.84375,47.1875,"[-342.8187499999969, -313.0662500000021, -351.6874999999976, -329.7187500000005, -368.67000000000075, -358.7174999999991, -350.69749999999834, -329.4399999999999]","[500, 500, 500, 500, 500, 500, 500, 500]",6080.5,319.5,0.0007812499999999999,2e-05,-0.12025206707146481,-0.0029205601429566743,0.16283885694574565,-0.7743315311148763,0.0016205401711055778,1.580424858443439,0.09999999999999999
